,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tournament:,Sony Open in Hawaii,,,"Last updated: 1/19/2026, 9:29:47 AM",,,,,,,,,,,,,,,,,,,,,,,
,Course:,Waialae Country Club,,,Found 120 players from API,,,,,,,,,,,,,,,,,,,,,,,
,Data Date:,2026-01-19 03:15:48 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance Analysis,DG ID,Player Name,Model Rank,Finish Position,Score,SG Total,SG Total - Model,Driving Distance,Driving Distance - Model,Driving Accuracy,Driving Accuracy - Model,SG T2G,SG T2G - Model,SG Approach,SG Approach - Model,SG Around Green,SG Around Green - Model,SG OTT,SG OTT - Model,SG Putting,SG Putting - Model,Greens in Regulation,Greens in Regulation - Model,Fairway Proximity,Fairway Proximity - Model,Rough Proximity,Rough Proximity - Model,SG BS
↑ Finished better than predicted | ↓ Approach | 📉 Rough Proximity: trend continuing (1.707) | 📉 Fairway Proximity: trend continuing (0.634) | 📈 SG Total: trend continuing (0.176),25002,"Wu, Dylan",85,T31,-6,0.733,2.079,291.23,110.83,60.71%,64.27%,-0.038,0.012,0.543,-0.065,-0.758,0.022,0.178,0.055,0.768,-0.285,79.17%,71.46%,28.80,1.40,0.00,3.92,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Rough Proximity: trend continuing (1.620) | 📉 Fairway Proximity: trend continuing (1.114) | 📈 SG Approach: trend continuing (0.052),25569,"Stevens, Sam",89,T31,-6,0.733,-0.287,300.60,276.85,58.93%,47.48%,0.790,-0.052,1.050,-0.081,-0.238,0.017,-0.028,0.011,-0.058,-0.081,75.00%,62.88%,27.86,1.63,0.00,2.31,0.000
↑ Finished better than predicted | ↓ Driving | 📉 Driving Distance: trend reversing (23.734) | 📉 Fairway Proximity: trend continuing (1.614) | 📉 Rough Proximity: trend continuing (1.121),27819,"Castillo, Ricky",80,T31,-6,0.733,-0.010,300.00,156.54,66.07%,56.77%,-0.278,-0.070,-0.820,-0.134,-0.398,-0.030,0.938,0.094,1.008,0.477,68.06%,61.74%,32.85,3.19,0.00,1.63,0.000
↓ Finished worse than predicted | ↑ Approach | 📈 Rough Proximity: trend reversing (3.019) | 📈 Fairway Proximity: trend reversing (1.521) | ❌ Underperformed model prediction,17536,"Spaun, J.J.",1,T40,-5,0.483,2.163,293.00,307.65,69.64%,84.67%,1.193,1.709,-0.118,0.294,1.113,0.716,0.200,0.698,-0.713,-0.476,68.06%,76.45%,29.89,17.90,0.00,47.71,0.000
,19870,"McCarthy, Denny",59,T40,-5,0.483,-0.393,297.25,249.74,57.14%,52.34%,0.000,-1.047,-0.165,-0.582,-0.363,-0.245,0.533,-0.221,0.480,0.594,72.22%,68.63%,29.56,28.37,0.00,29.91,0.000
↓ Finished worse than predicted | ↓ Approach | 📉 Rough Proximity: trend continuing (3.634) | 📉 Fairway Proximity: trend continuing (2.112) | 📈 SG Total: trend continuing (0.058) | ❌ Underperformed model prediction,15575,"Hoge, Tom",8,T40,-5,0.483,0.669,291.95,306.12,55.36%,89.78%,0.215,0.119,0.200,0.206,0.100,-0.036,-0.083,-0.051,0.268,-0.367,65.28%,75.58%,26.82,5.22,0.00,9.28,0.000
↓ Approach | 📉 Rough Proximity: trend continuing (1.034) | 📈 Fairway Proximity: trend reversing (2.047) | 📉 SG Total: trend reversing (0.087) | ❌ Underperformed model prediction,28159,"Meissner, Mac",20,T40,-5,0.483,0.834,291.88,305.21,60.71%,87.21%,0.190,0.969,0.508,0.347,-0.158,0.006,-0.160,0.615,0.293,-0.027,76.39%,81.23%,27.37,26.74,0.00,18.91,0.000
↑ Finished better than predicted | ↓ Approach | 📉 Fairway Proximity: trend continuing (0.717) | 📉 Rough Proximity: trend continuing (0.624) | 📈 SG Total: trend continuing (0.125),25908,"Whaley, Vince",86,T40,-5,0.483,2.450,288.90,260.48,58.93%,58.03%,-0.513,-0.027,-0.648,-0.014,0.103,0.012,0.035,-0.024,0.993,0.131,68.06%,60.17%,32.80,1.05,0.00,0.89,0.000
↓ Finished worse than predicted | ↑ Approach | 📈 Fairway Proximity: trend reversing (1.755) | 📈 Rough Proximity: trend reversing (1.279) | 📈 SG Total: trend continuing (0.399) | ❌ Underperformed model prediction,21891,"Kitayama, Kurt",5,T40,-5,0.483,1.868,302.78,310.97,64.29%,73.80%,1.000,1.776,0.330,0.848,0.018,0.302,0.655,0.625,-0.518,0.152,77.78%,73.96%,31.04,19.76,0.00,62.89,0.000
↑ Finished better than predicted,6430,"Scott, Adam",74,T40,-5,0.483,0.635,295.53,296.79,80.36%,69.12%,0.918,0.000,0.438,0.000,-0.390,0.000,0.870,0.000,-0.435,0.000,72.22%,70.04%,27.57,0.00,0.00,0.00,0.000
