,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expected Peformance Notes,Rank,DG ID,Player Name,Top 5,Top 10,Weighted Score,Past Perf. Mult.,SG Total,SG Total Trend,Driving Distance,Driving Distance Trend,Driving Accuracy,Driving Accuracy Trend,SG T2G,SG T2G Trend,SG Approach,SG Approach Trend,SG Around Green,SG Around Green Trend,SG OTT,SG OTT Trend,SG Putting,SG Putting Trend,Greens in Regulation,Greens in Regulation Trend,Scrambling,Scrambling Trend,Great Shots,Great Shots Trend,Poor Shots,Poor Shots Trend,Scoring Average,Scoring Average Trend,Birdies or Better,Birdies or Better Trend,Birdie Chances Created,Birdie Chances Created Trend,Fairway Proximity,Fairway Proximity Trend,Rough Proximity,Rough Proximity Trend,Approach <100 GIR,Approach <100 SG,Approach <100 Prox,Approach <150 FW GIR,Approach <150 FW SG,Approach <150 FW Prox,Approach <150 Rough GIR,Approach <150 Rough SG,Approach <150 Rough Prox,Approach >150 Rough GIR,Approach >150 Rough SG,Approach >150 Rough Prox,Approach <200 FW GIR,Approach <200 FW SG,Approach <200 FW Prox,Approach >200 FW GIR,Approach >200 FW SG,Approach >200 FW Prox,Refined Weighted Score,WAR,Delta Trend Score,Delta Predictive Score
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Off tee | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.25 (0.002) [S↑ M↑ L↑ VL↓]",21,24968,"Griffin, Ben",2,3,0.28,0.971,1.040,-0.082,287.007,0.008,59.78%,0.018,0.744,-0.083,0.493,0.256,0.212,-0.075,0.038,-0.532,-0.218,0.022,65.32%,0.010,62.01%,0.048,3.874,0.035,3.116,0.057,70.374,0.000,4.266,-0.017,3.348,0.000,31.607,0.027,50.036,0.007,85.80%,0.864,15.247,82.90%,-0.306,22.645,60.00%,0.468,40.558,38.20%,1.242,57.035,68.50%,-0.054,30.856,55.70%,1.044,42.651,0.28,0.15,0.282,0.019
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Total game | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.14 (0.021) [S↑ M↑ L↑ VL↓]",22,26096,"Bhatia, Akshay",1,3,0.24,1.009,0.624,0.929,281.368,0.018,64.10%,0.026,0.608,0.744,0.785,-0.011,-0.168,-0.186,-0.009,-0.448,-0.041,0.445,64.66%,0.041,61.19%,0.021,3.514,-0.019,4.615,-0.011,70.928,-0.003,4.294,0.007,2.201,0.000,30.252,0.021,52.005,0.000,84.60%,-0.846,18.046,83.50%,0.702,20.085,57.90%,0.522,37.314,31.80%,0.000,62.782,70.90%,0.846,27.569,49.10%,0.684,42.002,0.23,0.21,0.232,-0.017
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.74 (0.175) [S↑ M→ L↑ VL↑]",23,22833,"Echavarria, Nico",1,2,0.27,0.947,0.121,0.524,277.537,0.016,63.34%,0.010,-0.002,-0.600,0.326,-0.664,-0.569,-0.120,0.241,0.000,0.104,0.370,61.10%,0.024,53.79%,0.099,3.440,0.133,3.580,-0.010,70.979,0.000,4.136,0.017,1.459,0.000,33.375,0.067,46.783,0.086,82.50%,-0.108,16.463,77.60%,-0.252,21.184,59.20%,0.720,34.564,38.50%,0.612,57.435,70.60%,0.360,28.633,44.10%,0.018,43.934,0.27,0.1,0.488,0.050
"💪 Approach <100 Prox, Approach >200 FW Prox | ✅ Strong course fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.36 (0.110) [S↑ M↑ L↑ VL↓]",24,23950,"Aberg, Ludvig",4,6,0.28,0.928,1.165,0.081,267.454,-0.006,56.61%,-0.004,0.881,0.103,0.538,0.306,0.194,-0.329,0.148,-0.185,0.531,0.067,58.10%,0.020,63.94%,0.024,4.508,0.011,4.714,-0.023,70.577,-0.004,4.583,0.036,0.154,0.000,27.341,-0.009,53.510,-0.072,82.50%,-0.522,17.590,78.90%,-0.180,20.212,54.70%,-0.090,38.339,30.90%,-0.522,76.983,68.70%,0.540,27.706,49.60%,0.684,37.718,0.28,0.07,0.465,0.050
"💪 Approach <100 Prox, SG OTT | 👍 Good course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.22 (0.007) [S↑ M↑ L↑ VL↓]",25,18634,"McNealy, Maverick",3,5,0.21,0.995,1.583,0.000,290.247,0.000,66.51%,0.030,1.213,0.060,0.570,0.067,0.096,0.128,0.547,0.031,-0.043,-0.159,65.00%,0.012,62.91%,0.015,3.787,0.040,3.582,0.034,70.002,0.000,4.614,0.034,1.663,0.000,32.739,0.004,59.018,-0.025,84.70%,-0.072,16.139,83.40%,0.396,19.900,54.00%,-0.378,40.752,37.20%,0.630,62.306,71.80%,0.504,30.014,46.90%,0.000,46.658,0.2,0.13,0.334,0.015
"💪 SG Around Green, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Approach | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.44 (-0.032) [S↑ M↑ L↑ VL↓]",26,22760,"Hisatsune, Ryo",1,3,0.2,1.046,1.179,-0.068,284.260,0.023,68.18%,0.065,0.433,-0.098,-0.479,-1.105,0.495,0.018,0.418,0.122,0.778,0.065,66.44%,0.029,62.67%,0.019,3.735,0.102,2.599,0.099,69.285,0.000,4.469,-0.009,0.845,0.000,35.148,0.092,39.195,-0.031,80.30%,-1.764,20.055,84.70%,-0.360,22.175,62.80%,0.612,36.506,36.90%,0.126,62.054,72.60%,0.702,29.468,46.80%,0.198,45.213,0.2,0.14,0.090,-0.032
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↓ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.56 (-0.052) [S↑ M↓ L↑ VL↓]",27,14577,"English, Harris",4,7,0.16,0.958,1.748,0.053,288.420,0.023,65.11%,0.006,0.686,0.011,0.397,0.241,-0.291,-5.137,0.579,0.090,0.860,0.296,67.76%,0.023,59.14%,0.012,3.418,0.064,3.238,0.053,69.846,0.000,4.780,0.018,1.550,0.000,32.385,0.024,50.615,0.073,85.90%,0.342,16.145,76.30%,-0.594,23.175,58.10%,-0.162,38.811,40.20%,0.630,59.083,74.10%,0.522,28.873,49.50%,0.018,44.700,0.16,0.13,0.261,-0.045
"💪 Approach >200 FW Prox, Approach <100 Prox | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.08 (0.032) [S→ M↑ L↑ VL↓]",28,29767,"Gerard, Ryan",2,3,0.14,1.034,1.199,-0.040,266.880,0.020,60.81%,0.022,1.037,-0.041,0.756,0.104,-0.249,32.360,0.530,0.000,0.480,0.182,62.28%,0.038,50.82%,-0.015,3.002,0.019,3.251,0.000,70.031,0.000,4.367,-0.013,3.157,0.000,27.637,0.024,59.223,-0.004,80.80%,-0.504,17.484,79.70%,-0.072,22.105,55.00%,1.098,35.777,37.30%,0.540,61.742,67.30%,0.306,29.874,50.30%,1.476,36.669,0.14,0.17,0.244,0.008
"💪 Approach <100 Prox, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred↓ ΔTrend→ | BucketSig ↓ z=-0.86 (-0.105) [S↓ M↑ L↓ VL↓]",29,17606,"Berger, Daniel",2,3,0.13,0.976,-0.267,-0.843,284.755,0.015,67.67%,0.025,0.310,-0.481,0.159,-0.308,-0.172,0.443,0.323,-0.093,-0.231,2.108,65.49%,0.020,56.82%,0.000,3.214,0.016,3.867,0.106,71.674,0.004,3.402,-0.011,2.553,0.000,31.386,0.022,59.017,0.067,89.60%,0.342,15.516,80.10%,-0.072,21.392,57.80%,0.342,36.861,43.50%,0.378,61.750,72.70%,0.900,27.659,50.40%,0.540,41.578,0.12,0.17,-0.052,-0.082
"💪 Approach <100 Prox, SG Putting | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-1.08 (-0.144) [S↓ M→ L↑ VL↓]",30,12965,"Fowler, Rickie",1,3,0.14,0.971,0.587,-0.244,281.183,0.011,68.40%,0.028,0.321,2.248,0.164,-0.671,-0.212,0.060,0.369,-0.117,0.700,0.232,62.77%,0.019,62.75%,0.024,3.381,0.000,3.192,0.021,70.940,0.000,3.839,0.016,1.591,0.000,30.833,0.035,47.679,0.041,86.60%,0.072,17.686,79.40%,0.468,21.285,62.60%,1.458,33.245,35.80%,0.108,63.359,63.60%,-0.234,30.896,51.80%,0.630,43.433,0.14,0.12,0.001,-0.064
