Time,Message
10:39:33 AM,[SNAPSHOT] Metric 12 Scoring Average: 67.63161747428201
10:39:33 AM,[SNAPSHOT] Metric 13 Birdies or Better: 5.6415759927393925
10:39:33 AM,[SNAPSHOT] Metric 14 Birdie Chances Created: 7.607816533128647
10:39:33 AM,[SNAPSHOT] Metric 15 Fairway Proximity: 25.902105633977005
10:39:33 AM,[SNAPSHOT] Metric 16 Rough Proximity: 46.77281009920242
10:39:33 AM,[SNAPSHOT] Metric 17 Approach <100 GIR: 0.861
10:39:33 AM,[SNAPSHOT] Metric 18 Approach <100 SG: 1.422
10:39:33 AM,[SNAPSHOT] Metric 19 Approach <100 Prox: 14.973
10:39:33 AM,[SNAPSHOT] Metric 20 Approach <150 FW GIR: 0.86
10:39:33 AM,[SNAPSHOT] Metric 21 Approach <150 FW SG: 1.0619999999999998
10:39:33 AM,[SNAPSHOT] Metric 22 Approach <150 FW Prox: 18.241
10:39:33 AM,[SNAPSHOT] Metric 23 Approach <150 Rough GIR: 0.565
10:39:33 AM,[SNAPSHOT] Metric 24 Approach <150 Rough SG: 0.882
10:39:33 AM,[SNAPSHOT] Metric 25 Approach <150 Rough Prox: 38.286
10:39:33 AM,[SNAPSHOT] Metric 26 Approach >150 Rough GIR: 0.387
10:39:33 AM,[SNAPSHOT] Metric 27 Approach >150 Rough SG: 1.908
10:39:33 AM,[SNAPSHOT] Metric 28 Approach >150 Rough Prox: 56.203
10:39:33 AM,[SNAPSHOT] Metric 29 Approach <200 FW GIR: 0.759
10:39:33 AM,[SNAPSHOT] Metric 30 Approach <200 FW SG: 1.134
10:39:33 AM,[SNAPSHOT] Metric 31 Approach <200 FW Prox: 26.266
10:39:33 AM,[SNAPSHOT] Metric 32 Approach >200 FW GIR: 0.512
10:39:33 AM,[SNAPSHOT] Metric 33 Approach >200 FW SG: 1.3679999999999999
10:39:33 AM,[SNAPSHOT] Metric 34 Approach >200 FW Prox: 38.36
10:39:33 AM,[SNAPSHOT] Putting Metric Value (index 7): 0.6974551251507698
10:39:33 AM,"[SNAPSHOT] Putting Stats mean=-0.08268245136574692, stdDev=0.5331999878770303"
10:39:33 AM,[SNAPSHOT] Putting Z-Score: 1.4631237701686457
10:39:33 AM,[SNAPSHOT] Approach Metric 17 Approach <100 GIR: 0.861
10:39:33 AM,[SNAPSHOT] Approach Metric 18 Approach <100 SG: 1.422
10:39:33 AM,[SNAPSHOT] Approach Metric 19 Approach <100 Prox: 14.973
10:39:33 AM,[SNAPSHOT] Approach Metric 20 Approach <150 FW GIR: 0.86
10:39:33 AM,[SNAPSHOT] Approach Metric 21 Approach <150 FW SG: 1.0619999999999998
10:39:33 AM,[SNAPSHOT] Approach Metric 22 Approach <150 FW Prox: 18.241
10:39:33 AM,[SNAPSHOT] Approach Metric 23 Approach <150 Rough GIR: 0.565
10:39:33 AM,[SNAPSHOT] Approach Metric 24 Approach <150 Rough SG: 0.882
10:39:33 AM,[SNAPSHOT] Approach Metric 25 Approach <150 Rough Prox: 38.286
10:39:33 AM,[SNAPSHOT] Approach Metric 26 Approach >150 Rough GIR: 0.387
10:39:33 AM,[SNAPSHOT] Approach Metric 27 Approach >150 Rough SG: 1.908
10:39:33 AM,[SNAPSHOT] Approach Metric 28 Approach >150 Rough Prox: 56.203
10:39:33 AM,[SNAPSHOT] Approach Metric 29 Approach <200 FW GIR: 0.759
10:39:33 AM,[SNAPSHOT] Approach Metric 30 Approach <200 FW SG: 1.134
10:39:33 AM,[SNAPSHOT] Approach Metric 31 Approach <200 FW Prox: 26.266
10:39:33 AM,[SNAPSHOT] Approach Metric 32 Approach >200 FW GIR: 0.512
10:39:33 AM,[SNAPSHOT] Approach Metric 33 Approach >200 FW SG: 1.3679999999999999
10:39:33 AM,[SNAPSHOT] Approach Metric 34 Approach >200 FW Prox: 38.36
10:39:33 AM,[SNAPSHOT] Derived Metric BCC (index 14): 7.607816533128647
10:39:33 AM,[SNAPSHOT] === PUTTING GROUP SCORE CALCULATION ===
10:39:33 AM,"[SNAPSHOT]   SG Putting: raw=0.6974551251507698, transformed=0.6975, z=1.4631, weight=1, contrib=1.4631"
10:39:33 AM,[SNAPSHOT]   Total: 1.4631 / 1 = 1.4631
10:39:33 AM,[SNAPSHOT] === SCORING GROUP SCORE CALCULATION ===
10:39:33 AM,"[SNAPSHOT]   SG T2G: raw=1.2608018716733786, transformed=1.2608, z=1.8294, weight=0.2, contrib=0.3659"
10:39:33 AM,"[SNAPSHOT]   Scoring Average: raw=67.63161747428201, transformed=6.3684, z=2.0626, weight=0.1, contrib=0.2063"
10:39:33 AM,"[SNAPSHOT]   Birdie Chances Created: raw=7.607816533128647, transformed=7.6078, z=3.1769, weight=0.1, contrib=0.3177"
10:39:33 AM,"[SNAPSHOT]   Scoring: Approach <100 SG: raw=1.422, transformed=1.4220, z=1.5983, weight=0.075, contrib=0.1199"
10:39:33 AM,"[SNAPSHOT]   Scoring: Approach <150 FW SG: raw=1.0619999999999998, transformed=1.0620, z=2.1330, weight=0.276, contrib=0.5887"
10:39:33 AM,"[SNAPSHOT]   Scoring: Approach <150 Rough SG: raw=0.882, transformed=0.8820, z=0.9853, weight=0.276, contrib=0.2719"
10:39:33 AM,"[SNAPSHOT]   Scoring: Approach <200 FW SG: raw=1.134, transformed=1.1340, z=1.8345, weight=0.405, contrib=0.7430"
